RMS,MAV,WL,target
551.4279928200133,551.2315963606286,2404.0,mesaio
548.5170887871047,548.1141439205956,2814.0,mesaio
549.8645468214119,549.6302729528536,2360.0,mesaio
547.8487041572843,547.6368899917287,2396.0,mesaio
548.9183536504851,548.6476426799007,2782.0,mesaio
553.0619804117852,552.8924731182796,2289.0,mesaio
548.4357788808626,548.0599669148056,2673.0,mesaio
547.7248585542256,547.4247311827957,2558.0,mesaio
551.038334484211,550.879652605459,2399.0,mesaio
548.7701766518155,548.4669148056245,2817.0,mesaio
549.9841733943664,549.687758478081,2731.0,mesaio
549.6393253069726,549.3862696443341,2674.0,mesaio
546.310277169736,546.0223325062035,2772.0,mesaio
551.4189827535346,551.1360628618693,2822.0,mesaio
551.0929579520898,550.8751033912324,2578.0,mesaio
553.6711231158564,553.4917287014061,2644.0,mesaio
551.0768310292772,550.9168734491315,2133.0,mesaio
551.8679989406488,551.7084367245658,2501.0,mesaio
556.9008257999578,556.7167080231596,2441.0,mesaio
552.451657010216,551.9822167080232,2864.0,mesaio
552.1426303814375,551.8631100082713,2559.0,mesaio
550.9669108097861,550.6691480562448,2791.0,mesaio
547.1081977691163,546.7051282051282,3078.0,mesaio
552.1270266119038,551.9524400330852,2113.0,mesaio
551.0768666764544,550.8056244830439,2580.0,mesaio
548.8990933133325,548.5843672456575,2531.0,mesaio
548.967921038377,548.741935483871,2319.0,mesaio
552.0755513442517,551.859387923904,2248.0,mesaio
551.3565907442793,551.2307692307693,1806.0,mesaio
551.3245776391759,550.6708023159636,2527.0,mesaio
552.0354148563143,551.874276261373,2181.0,mesaio
549.1772223864436,548.9929693961952,2116.0,mesaio
550.6152491581204,550.3420181968569,2368.0,mesaio
552.996344836756,552.6050454921423,2481.0,mesaio
551.7318091675627,551.6004962779157,1986.0,mesaio
548.5883131306724,548.4160463192721,2165.0,mesaio
551.743409109208,551.485111662531,2503.0,mesaio
550.0934284132627,549.9205955334987,2367.0,mesaio
547.406463451326,547.1761786600496,2313.0,mesaio
550.5014425922175,550.322994210091,2351.0,mesaio
551.6845508734648,551.4466501240695,2431.0,mesaio
550.3462764358145,550.1794871794872,2161.0,mesaio
549.5034283635472,549.3560794044665,2050.0,mesaio
550.4786626786874,550.3428453267163,2089.0,mesaio
549.9113741663757,549.7799834574029,2123.0,mesaio
551.447381569809,551.3238213399504,2032.0,mesaio
550.193855978352,550.0591397849462,2145.0,mesaio
551.708919639628,551.5119933829611,2360.0,mesaio
548.9985276616776,548.8349875930521,1986.0,mesaio
549.5021071450261,549.2051282051282,2447.0,mesaio
550.9796842803379,550.7506203473945,2421.0,mesaio
550.9415363806871,550.7816377171216,2319.0,mesaio
551.3112660522148,551.2038875103391,1912.0,mesaio
550.079844945007,549.9466501240695,2029.0,mesaio
549.9569025899838,549.7775020678247,2280.0,mesaio
549.9674345573695,549.8556658395368,2035.0,mesaio
549.8364547430749,549.7340777502068,1960.0,mesaio
550.0242215886137,549.8626964433416,2001.0,mesaio
550.374570925044,550.2179487179487,1997.0,mesaio
551.4908094458382,551.2981803143093,2246.0,mesaio
548.5744737655617,548.4156327543425,2190.0,mesaio
551.4570560028991,551.2923904052936,2311.0,mesaio
550.9073900757123,550.7539288668321,2070.0,mesaio
551.0465289687459,550.8329197684036,2587.0,mesaio
549.5483422591095,549.4036393713814,2336.0,mesaio
549.133114480774,548.9292803970224,2472.0,mesaio
550.2861718849039,550.1199338296112,2233.0,mesaio
551.0143631254581,550.8308519437552,2273.0,mesaio
550.7619941440662,550.5947063688999,2248.0,mesaio
548.4947783880365,548.3382961124896,2360.0,mesaio
550.9161720431641,550.7899090157155,2106.0,mesaio
550.9951081281407,550.8076923076923,2303.0,mesaio
550.7292559865543,550.5016542597187,2560.0,mesaio
551.7761901530829,551.4023986765923,2583.0,mesaio
553.5693832165391,553.2861869313482,2206.0,mesaio
548.8534485092051,548.6207609594707,2403.0,mesaio
548.8043357379123,548.4214226633582,2753.0,mesaio
549.1006045757092,548.6401985111662,2650.0,mesaio
552.5576350328399,552.382547559967,2186.0,mesaio
550.4541665710695,550.252688172043,2315.0,mesaio
549.7293228221996,549.4574028122415,2861.0,mesaio
549.8032056378845,549.3564929693962,3080.0,mesaio
551.0985513651716,550.8779983457403,2631.0,mesaio
549.1044826233486,548.6997518610422,3170.0,mesaio
552.0871294561813,551.586435070306,3100.0,mesaio
551.7614492304682,551.5868486352357,2346.0,mesaio
550.1376047879472,549.5876757650951,3194.0,mesaio
549.536951856514,549.359387923904,2307.0,mesaio
551.0663765507421,550.8312655086849,2127.0,mesaio
552.5672335200187,552.4086021505376,2228.0,mesaio
553.377637941485,553.2030603804798,2252.0,mesaio
549.5112622849492,549.3908188585608,2017.0,mesaio
549.2534677131058,549.0789909015715,2254.0,mesaio
549.5731684623954,549.424317617866,2100.0,mesaio
549.5567993984745,549.4069478908189,2182.0,mesaio
550.1775704028282,549.9007444168734,2613.0,mesaio
552.1725453616076,552.020264681555,1963.0,mesaio
550.6256216966453,550.4015715467328,2254.0,mesaio
550.6848630977574,550.5306038047974,1973.0,mesaio
551.2213973981281,551.044665012407,2060.0,mesaio
550.1416224912938,549.9429280397022,2620.0,mesaio
550.3233217646524,550.0545905707196,2555.0,mesaio
548.0809142686944,547.8449131513647,2479.0,mesaio
549.4900971192226,549.2990074441688,2369.0,mesaio
550.5370503770682,550.4044665012407,1999.0,mesaio
549.785655277927,549.5545905707196,2824.0,mesaio
552.9185269421685,552.7096774193549,2318.0,mesaio
550.4432468384679,550.21629445823,2437.0,mesaio
551.0757826259986,550.898676592225,2211.0,mesaio
551.1151230237432,550.9474772539289,2189.0,mesaio
550.9107164073322,550.7506203473945,2194.0,mesaio
549.4127626732517,549.1952026468156,2426.0,mesaio
552.2042797588168,552.0355665839537,2309.0,mesaio
549.1816040647903,549.0215053763441,2260.0,mesaio
550.2741970092069,550.0624483043838,2504.0,mesaio
551.5562241545638,551.3916459884202,2259.0,mesaio
548.371076810719,548.2043010752689,2263.0,mesaio
550.4083103532073,550.1443341604632,2298.0,mesaio
551.8883265474291,551.7018196856907,2236.0,mesaio
551.8070693367908,551.5496277915632,2441.0,mesaio
548.4298608222585,548.2766749379653,2063.0,mesaio
550.3113604730272,550.1832092638545,2256.0,mesaio
550.4403237784787,550.2977667493797,2145.0,mesaio
550.8530259922609,550.7253928866832,2038.0,mesaio
549.6760452812154,549.5057899090157,2197.0,mesaio
550.6716532057321,550.494623655914,2308.0,mesaio
546.5268373590457,546.1290322580645,2993.0,mesaio
552.8960826084516,552.7646815550041,1920.0,mesaio
549.1101569206456,548.9561621174524,1999.0,mesaio
549.5536823579818,549.3449131513647,2151.0,mesaio
552.3033212316462,552.0231596360628,2526.0,mesaio
550.2941137814678,550.0260545905708,2481.0,mesaio
548.2038748679016,547.6612903225806,3268.0,mesaio
553.0043835465237,552.6604631927213,2938.0,mesaio
553.3462903452729,553.2287014061208,1761.0,mesaio
547.055206998089,546.7824648469809,2331.0,mesaio
552.3147728913392,552.0574855252274,2450.0,mesaio
552.0032523189692,551.7187758478082,2374.0,mesaio
549.0816620771867,548.8602150537635,2180.0,mesaio
552.016777969326,551.6720430107526,2530.0,mesaio
552.4397586446402,552.2245657568238,2283.0,mesaio
551.5375268347844,551.3854425144748,2048.0,mesaio
549.4628232441008,549.2832919768404,2151.0,mesaio
551.0502781196244,550.7911497105046,2350.0,mesaio
549.724387293407,549.5215053763441,2280.0,mesaio
552.0605622127912,551.7650951199338,2482.0,mesaio
548.8623266339337,548.6377171215881,2554.0,mesaio
551.8445537441726,551.5397022332506,2612.0,mesaio
554.0567943344993,553.9023986765923,2015.0,mesaio
549.7091399497115,549.5578990901572,1799.0,mesaio
548.1533715057628,547.9755996691481,2444.0,mesaio
